car_ID,symboling,CarName,fueltype,doornumber,carbody,wheelbase,carlength,carwidth,carheight,curbweight,cylindernumber,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price
1,3,alfa-romero giulia,gas,two,convertible,88.6,168.8,64.1,48.8,2548,2,130,3.47,2.68,9,111,5000,21,27,13495
2,3,alfa-romero stelvio,gas,two,convertible,88.6,168.8,64.1,48.8,2548,2,130,3.47,2.68,9,111,5000,21,27,16500
3,1,alfa-romero Quadrifoglio,gas,two,hatchback,94.5,171.2,65.5,52.4,2823,6,152,2.68,3.47,9,154,5000,19,26,16500
4,2,audi 100 ls,gas,four,sedan,99.8,176.6,66.2,54.3,2337,2,109,3.19,3.4,10,102,5500,24,30,13950
5,2,audi 100ls,gas,four,sedan,99.4,176.6,66.4,54.3,2824,5,136,3.19,3.4,8,115,5500,18,22,17450
6,2,audi fox,gas,two,sedan,99.8,177.3,66.3,53.1,2507,5,136,3.19,3.4,8.5,110,5500,19,25,15250
7,1,audi 100ls,gas,four,sedan,105.8,192.7,71.4,55.7,2844,5,136,3.19,3.4,8.5,110,5500,19,25,17710
8,1,audi 5000,gas,four,wagon,105.8,192.7,71.4,55.7,2954,5,136,3.19,3.4,8.5,110,5500,19,25,18920
9,1,audi 4000,gas,four,sedan,105.8,192.7,71.4,55.9,3086,5,131,3.13,3.4,8.3,140,5500,17,20,23875
10,0,audi 5000s (diesel),gas,two,hatchback,99.5,178.2,67.9,52,3053,5,131,3.13,3.4,7,160,5500,16,22,17859.167
11,2,bmw 320i,gas,two,sedan,101.2,176.8,64.8,54.3,2395,2,108,3.5,2.8,8.8,101,5800,23,29,16430
12,0,bmw 320i,gas,four,sedan,101.2,176.8,64.8,54.3,2395,2,108,3.5,2.8,8.8,101,5800,23,29,16925
13,0,bmw x1,gas,two,sedan,101.2,176.8,64.8,54.3,2710,6,164,3.31,3.19,9,121,4250,21,28,20970
14,0,bmw x3,gas,four,sedan,101.2,176.8,64.8,54.3,2765,6,164,3.31,3.19,9,121,4250,21,28,21105
15,1,bmw z4,gas,four,sedan,103.5,189,66.9,55.7,3055,6,164,3.31,3.19,9,121,4250,20,25,24565
16,0,bmw x4,gas,four,sedan,103.5,189,66.9,55.7,3230,6,209,3.62,3.39,8,182,5400,16,22,30760
17,0,bmw x5,gas,two,sedan,103.5,193.8,67.9,53.7,3380,6,209,3.62,3.39,8,182,5400,16,22,41315
18,0,bmw x3,gas,four,sedan,110,197,70.9,56.3,3505,6,209,3.62,3.39,8,182,5400,15,20,36880
19,2,chevrolet impala,gas,two,hatchback,88.4,141.1,60.3,53.2,1488,3,61,2.91,3.03,9.5,48,5100,47,53,5151
20,1,chevrolet monte carlo,gas,two,hatchback,94.5,155.9,63.6,52,1874,2,90,3.03,3.11,9.6,70,5400,38,43,6295
21,0,chevrolet vega 2300,gas,four,sedan,94.5,158.8,63.6,52,1909,2,90,3.03,3.11,9.6,70,5400,38,43,6575
22,1,dodge rampage,gas,two,hatchback,93.7,157.3,63.8,50.8,1876,2,90,2.97,3.23,9.41,68,5500,37,41,5572
23,1,dodge challenger se,gas,two,hatchback,93.7,157.3,63.8,50.8,1876,2,90,2.97,3.23,9.4,68,5500,31,38,6377
24,1,dodge d200,gas,two,hatchback,93.7,157.3,63.8,50.8,2128,2,98,3.03,3.39,7.6,102,5500,24,30,7957
